size,demand,cost,location,use_type,roi,risk_score,tax_saving,demand_forecast,material_cost,land_score,investor_score,recommendation_score
2248,0.9099033154879003,199361,Chicago,Commercial,13.05,0.21701837543271424,16.16597556710604,0.8246050318827836,200590.69,4.37725779395441,60.83564706790477,0.7735346625800279
1930,0.8386950524369152,239161,Seattle,Mixed-use,13.02,0.17840583774364457,15.300847543625235,0.9653553687915786,215467.51,3.1223371632643895,66.15645071675296,0.8449798124191736
2323,0.708944555488026,190568,San Francisco,Residential,11.47,0.41261371763878313,21.480228744189503,0.7713092804187733,240789.0,10.0,55.48433947061658,0.6581782251119961
2761,0.6029594833441638,226902,Chicago,Residential,11.25,0.405872661555667,11.825107296373341,0.7193638019625622,246262.48,6.763639099889176,48.284106319124184,0.6378964561627583
1882,0.8047334970420384,107978,New York,Residential,13.79,0.09008278382356262,13.42151009109951,0.7198831037242032,186595.54,8.319941333282962,69.05882408444879,0.7898201279602562
1882,0.7590228078132624,265997,San Francisco,Residential,11.92,0.23826710491265343,15.172302180892904,0.7206733662213075,181129.42,7.3636347165943485,45.38528614552655,0.7121625045234616
2789,0.8342789830041598,250090,Denver,Commercial,13.55,0.4507224844685931,16.624992073547816,0.924077537782567,320529.66,6.073170017932686,47.55729116193808,0.7248420213255895
2383,0.7952757702522953,188718,San Francisco,Industrial,14.66,0.3195001411873578,9.043260019438216,0.8669350892023534,193705.73,4.918500870123594,72.375958125201,0.7655739792059983
1765,0.8574329072979002,299443,Seattle,Industrial,11.11,0.14075474981224445,18.91766308290052,0.8287470312025995,204446.58,4.539325531976224,40.26042043255414,0.7862969125561421
2271,0.6197147182659147,320317,New York,Mixed-use,9.52,0.5710299843690837,18.87687584604426,0.6052614718306236,240915.19,7.55873302875562,37.816081649393304,0.5088925949846159
1768,0.8976091098451489,129433,Seattle,Industrial,13.04,0.2866950933849967,13.725619077627815,0.8541743150631633,193598.7,7.453984230097593,58.59782225935822,0.7573916886712666
1767,0.7296399407038598,192795,New York,Industrial,10.63,0.21437762077078065,23.119854879996787,0.7124955382561571,141544.3,7.116896967745923,55.01921088267524,0.7055471669941507
2120,1.0,192314,Chicago,Industrial,13.5,0.53844343832619,18.68311614877738,0.9034659460473282,222874.7,5.764467600307452,56.5552549119468,0.6810090030884552
1043,0.5966218272865648,179507,Denver,Industrial,6.42,0.46853076047856174,18.523349798964624,0.48330008196039875,107991.64,6.826471830211142,31.74065310451683,0.47010772859273486
1137,0.9603945704747874,312210,New York,Mixed-use,12.28,0.3337474075065748,18.562659569343037,1.0,115392.11,5.154293203318563,53.70555973070248,0.7893010369973701
1718,0.7296866175193971,235463,New York,Commercial,9.81,0.1840868734326657,18.47614817612412,0.7091461745110649,191444.77,4.638354645256085,51.10000704101621,0.7081237204313597
1493,0.6022872994578327,230161,New York,Residential,10.47,0.34263787969826676,14.934271535153162,0.7174200735459029,152636.62,5.44535046871614,38.00606025851489,0.6546128775390545
2157,0.6274171248918518,99710,San Francisco,Industrial,10.55,0.1093707133299451,14.63712001460144,0.687015605063793,246510.35,5.533339345488574,39.052397467965065,0.7365579566935393
1545,0.651947903770852,297656,Chicago,Commercial,8.66,0.32989685464726487,12.169289796839514,0.6831489550315236,137976.63,8.928405262364956,36.56100210571154,0.6279008401537035
1293,0.7636248919602874,157055,San Francisco,Industrial,11.63,0.1427418817857665,13.267884689310936,0.6926027179197757,145125.42,3.2699399041923756,48.2921805130037,0.7362443344536038
2732,0.7784253232053249,254494,Denver,Industrial,13.02,0.293584045408708,14.067306953143442,0.6573473458055245,238155.3,5.933938182026523,58.92868660380571,0.6757053201587265
