property_size_sqft,market_demand_index,construction_cost_usd,location,use_type,roi_percent,risk_score,tax_saving_percent,demand_forecast,material_cost_estimate,land_score_index,investor_score_out_of_100,recommendation_score
1460,0.41,1396189,London,Industrial,4.45,0.35,8.94,0.86,131292.62,1.74,71.08,0.69
4372,0.41,370998,New York,Industrial,9.34,0.41,3.47,0.77,135158.1,0.64,104.72,0.2
3692,0.79,741616,London,Mixed-use,6.4,0.65,12.77,0.53,104401.21,3.3,81.85,0.82
1066,0.4,156256,New York,Mixed-use,8.95,0.21,5.27,0.65,76903.74,2.31,70.74,0.91
4044,0.71,1031441,Toronto,Commercial,5.42,0.66,12.1,0.68,119464.96,8.89,59.65,0.81
3771,0.6,1489854,Toronto,Mixed-use,7.17,0.42,14.44,0.73,119568.0,0.55,68.34,0.31
3519,0.66,261360,Sydney,Commercial,10.03,0.25,11.06,0.74,96049.45,1.77,72.25,0.59
730,0.87,426874,London,Commercial,6.33,0.28,9.75,0.63,142948.58,5.49,91.98,0.91
2285,0.52,498267,New York,Industrial,5.52,0.56,7.99,0.46,118711.76,4.81,88.4,0.32
1369,0.82,1418106,Toronto,Mixed-use,8.64,0.39,6.74,0.7,99773.18,0.46,76.77,0.82
2991,0.54,1371210,San Francisco,Mixed-use,8.59,0.19,6.59,0.56,134626.78,0.07,96.54,0.01
3033,0.48,1013688,Toronto,Commercial,5.63,0.44,10.27,0.18,135290.5,9.88,39.76,0.0
1784,0.97,113787,San Francisco,Commercial,2.04,0.38,11.77,0.66,102091.3,6.59,76.94,0.76
3985,0.35,625909,New York,Residential,5.47,0.36,10.82,0.49,150834.8,3.65,88.83,0.76
4717,0.27,682272,Toronto,Residential,8.69,0.42,4.58,0.53,176081.1,4.7,78.21,0.79
3504,0.82,391955,Toronto,Commercial,5.06,0.12,8.42,0.6,92749.24,2.67,50.01,0.93
1074,0.25,110447,New York,Residential,6.97,0.32,12.29,0.37,115407.65,3.45,90.84,0.12
1682,0.87,208046,Toronto,Residential,5.36,0.18,8.18,0.62,128425.25,6.49,81.42,0.23
3158,0.55,819290,San Francisco,Commercial,2.17,0.51,8.98,0.55,177006.51,8.83,75.15,0.9
2647,0.93,1097541,Toronto,Commercial,5.31,0.39,12.02,0.47,101655.57,1.84,71.33,0.18
3347,0.78,721147,London,Mixed-use,8.68,0.45,10.6,0.61,96510.39,8.4,99.91,0.68
1575,0.69,268490,Sydney,Commercial,1.07,0.5,7.32,0.35,96339.52,1.22,76.67,0.53
2406,0.96,1112038,San Francisco,Commercial,7.63,0.29,13.64,0.61,150535.59,2.15,66.37,0.08
789,0.52,487688,London,Industrial,4.03,0.36,4.11,0.67,102304.22,0.37,57.83,0.29
3334,0.96,584409,New York,Mixed-use,8.52,0.19,14.94,0.65,98746.64,1.41,81.36,0.52
3605,0.31,1366980,San Francisco,Mixed-use,8.79,0.23,3.55,0.72,125774.18,9.17,84.79,0.85
2499,0.59,596595,Sydney,Mixed-use,6.57,0.35,2.19,0.77,127705.53,4.59,70.85,0.71
1867,0.42,743689,Sydney,Industrial,6.58,0.24,13.57,0.59,146775.51,0.78,61.63,0.62
2128,0.63,245937,New York,Commercial,4.98,0.41,5.18,0.76,122298.15,9.6,89.95,0.5
3802,0.33,1175426,New York,Mixed-use,3.64,0.25,11.49,0.59,126223.3,8.79,56.69,0.3
4156,0.87,1444940,San Francisco,Mixed-use,11.25,0.04,12.54,0.5,117368.23,7.55,99.54,0.12
4490,0.88,323306,Toronto,Residential,4.84,0.56,13.17,0.54,87392.33,9.33,58.98,0.41
1246,0.96,1222384,New York,Mixed-use,10.92,0.13,14.89,0.64,115009.88,2.2,50.83,0.03
3488,0.32,741757,Toronto,Commercial,4.85,0.4,5.82,0.76,121570.84,8.36,52.74,0.21
3035,0.7,308981,London,Commercial,8.31,0.17,11.23,0.6,108904.41,6.9,53.35,0.43
1200,0.58,602220,Sydney,Residential,4.16,0.17,3.5,0.5,80888.65,8.7,66.45,0.42
2963,0.48,133072,Toronto,Mixed-use,8.31,0.26,7.29,0.82,91625.24,7.97,62.98,0.04
2661,0.48,1151860,Sydney,Mixed-use,6.19,0.06,13.02,0.38,119015.47,3.46,85.37,0.59
841,0.53,163369,Toronto,Mixed-use,6.22,0.52,6.78,0.5,143318.83,7.74,83.23,0.55
2641,0.76,891554,London,Industrial,8.53,0.12,9.68,0.73,162057.1,2.62,66.65,0.08
3424,0.68,817266,New York,Mixed-use,5.83,0.16,8.55,0.86,115404.24,3.29,116.55,0.94
3212,0.57,667100,London,Commercial,3.43,0.07,10.4,0.67,102078.14,1.08,66.45,0.1
1963,0.26,1398719,New York,Commercial,8.9,0.1,14.65,0.64,110687.26,9.35,68.45,0.85
2078,0.26,364580,New York,Industrial,4.14,0.24,2.72,0.56,93839.62,2.91,50.84,0.0
3156,0.2,603156,Sydney,Industrial,8.29,0.38,9.46,0.68,139693.64,5.21,68.79,0.88
1375,0.97,849097,London,Mixed-use,9.43,0.51,13.22,0.62,173440.29,3.91,74.46,0.02
4614,0.2,332164,Toronto,Residential,6.06,0.13,8.26,0.49,102686.63,9.6,52.24,0.76
634,0.28,849605,London,Industrial,9.96,0.09,3.02,0.55,90198.96,3.35,62.52,0.36
3752,0.45,1416921,Sydney,Industrial,8.2,0.14,9.29,0.47,145162.08,7.79,74.91,0.74
2555,0.85,230787,New York,Mixed-use,5.26,0.38,6.32,0.6,127951.29,8.55,62.13,0.4
2185,0.97,240381,Sydney,Mixed-use,10.5,0.13,4.01,0.62,128373.23,4.36,58.99,0.07
4543,0.83,529830,San Francisco,Industrial,4.15,0.32,13.04,0.85,159704.35,3.78,81.73,0.77
3673,0.75,984098,San Francisco,Residential,6.06,0.44,8.78,0.51,85837.84,7.48,50.77,0.07
1621,0.62,1485568,Toronto,Industrial,6.48,0.1,14.13,0.57,85139.59,9.13,53.68,0.92
4061,0.27,148920,Sydney,Mixed-use,8.51,0.13,12.48,0.79,115957.14,7.55,72.66,0.05
3213,0.97,910051,Toronto,Mixed-use,9.79,0.32,11.01,0.87,121585.09,2.27,82.69,0.48
4443,0.81,730024,Toronto,Industrial,9.63,0.46,2.07,0.67,111126.29,8.88,74.58,0.72
2100,0.71,1010997,San Francisco,Residential,7.56,0.4,7.56,0.56,181518.82,3.88,66.64,0.39
761,0.81,621357,Toronto,Industrial,6.3,0.04,4.57,0.53,112243.95,5.76,65.42,0.22
4897,0.78,87531,San Francisco,Industrial,2.44,0.81,13.84,0.32,106231.87,8.31,85.16,0.76
2581,0.71,510267,New York,Mixed-use,3.71,0.38,4.27,0.46,123108.59,1.88,82.89,0.78
1595,0.98,1195731,Sydney,Residential,11.42,0.19,5.72,0.62,144272.17,7.85,70.75,0.92
3942,0.92,1011479,Toronto,Commercial,2.41,0.36,8.72,0.57,101864.31,5.96,65.84,0.38
4398,0.72,387747,San Francisco,Residential,5.04,0.17,5.42,0.69,116325.33,8.93,70.53,0.51
1875,0.75,1020756,London,Industrial,9.86,0.4,4.73,0.57,144982.12,1.72,59.09,0.36
1616,0.24,554013,Toronto,Industrial,7.52,0.19,9.79,0.49,146370.16,4.21,67.75,0.26
937,0.74,212503,New York,Industrial,9.32,0.06,3.16,0.65,125440.7,8.33,62.66,0.75
